transcript	gene	bp	covered_bp	all	syn	mis	non	rdt	css	frameshift
NM_015446	AHCTF1	6828	6828	-4.07842833546	-4.65783563617	-4.25277896381	-5.38671001663	-7.83278868653	-5.82504440212	-5.36401917838
NM_001025199	CHI3L2	936	936	-4.95309993937	-5.50587959295	-5.13338673	-6.46627915113	-7.72595056655	-6.51633585149	-6.22703684208
NM_001276	CHI3L1	1152	1152	-4.73186344938	-5.25717587371	-4.91769989165	-6.29358897091	-7.68961716784	-6.40415029828	-6.13686021173
NM_001198773	PI4KB	2406	2406	-4.42483855775	-4.98374723571	-4.60074091255	-5.76653889282	-7.6635973678	-6.39060514897	-5.81701706782
NM_018087	TMEM48	2025	2025	-4.63312918143	-5.21853624296	-4.8091568965	-6.02050472543	-7.57651849753	-6.13704070796	-5.89188766327
NM_001025247	TAF5L	978	978	-4.81760511283	-5.38424804376	-4.99715779527	-6.04066605465	-7.60213353831	-7.04612942276	-6.20797383603
NM_001918	DBT	1449	1449	-4.7424616705	-5.36421466323	-4.8985394536	-6.16921207684	-7.60317265777	-6.35927535746	-6.03724430535
NM_001199039	SERINC2	1203	1203	-4.62293471228	-5.10447018261	-4.82249857923	-6.2668110683	-7.74480286964	-6.44725426155	-6.11804706348
NM_032409	PINK1	1746	1746	-4.56335779252	-5.07234061348	-4.75294135888	-6.0600045568	-7.64987103741	-6.51085917486	-5.95626845145
NM_052877	MED8	906	906	-4.94952056549	-5.52322238021	-5.1124321694	-6.30296325363	-7.74350578501	NA	-6.24118449314
NM_015215	CAMTA1	5022	5022	-4.03774985038	-4.52917891951	-4.23376624728	-5.56066168419	-7.78037043178	-6.01576191523	-5.49743598244
NM_012353	OR1C1	945	945	-4.88215264433	-5.36845727126	-5.0679562146	-6.6180273093	-7.70193614432	-7.61899591834	-6.22288088231
NM_001172218	SCMH1	1734	1734	-4.5775269173	-5.16583889091	-4.73833527708	-6.08900002587	-7.74856746161	-6.27775422585	-5.95926359768
NM_139053	EPS8L3	1785	1785	-4.58132633713	-5.14009884952	-4.77297465666	-5.94228126679	-7.72765438132	-6.02118587046	-5.94667447037
NM_001257360	AMPD2	2640	2640	-4.28813149549	-4.82680672314	-4.46004330887	-5.97289454271	-7.64121794035	-6.07080959804	-5.77670876395
NM_000036	AMPD1	2343	2343	-4.50931066956	-5.111979818	-4.6731527124	-5.92271162481	-7.70239346515	-6.10497835957	-5.82854040222
NM_001162530	SH3D21	2271	2271	-4.76909762085	-5.2440842997	-4.96092982545	-6.49551992168	-7.76696102552	-7.40579118219	-5.8420955566
NM_207468	FAM177B	477	477	-5.23548731173	-5.81215541967	-5.43649351794	-6.33410511528	-7.72541930018	-6.88276763694	-6.51979431178
NM_002725	PRELP	1149	1149	-4.72118620062	-5.22338080006	-4.90963779884	-6.18675199593	-7.71480717099	-7.38694823308	-6.13799266213
NM_018566	YOD1	1047	1047	-4.78499743977	-5.32865333401	-4.95025687798	-6.36283115267	-7.66248617566	-7.34548854022	-6.17836600914
NM_004905	PRDX6	675	675	-5.01311738124	-5.58400627348	-5.17889062188	-6.7908222923	-7.8956825082	-6.52587306623	-6.36900891799
NM_002574	PRDX1	600	600	-5.14002422574	-5.71861221689	-5.30516244966	-6.74751466767	-7.72310383944	-6.7399769451	-6.42016144044
NM_019891	ERO1LB	1404	1404	-4.77644233429	-5.39797098099	-4.95621653827	-5.9895776927	-7.83409211796	-6.19859581511	-6.05094558303
NM_012437	SNAPIN	411	411	-5.0462270774	-5.56814884883	-5.24089414299	-6.40881255648	-7.68830805145	-6.87266665067	-6.58447086894
NM_014675	CROCC	6054	6054	-4.07579056085	-4.63333133361	-4.24468546793	-5.57948399184	-7.59947740759	-5.94374968981	-5.4162702742
NM_001102663	NBPF16	2013	2013	-4.58069891069	-5.10928102743	-4.77977961833	-5.90711478259	-7.70905359427	-6.20568659174	-5.89446891593
NM_001170755	NBPF15	2013	2013	-4.58069891069	-5.10928102743	-4.77977961833	-5.90711478259	-7.70905359427	-6.20568659174	-5.89446891593
NM_015383	NBPF14	2766	2766	-4.46561127011	-5.0011976011	-4.66114571104	-5.83057275866	-7.7101092426	-6.02711420889	-5.75646051505
NM_183372	NBPF11	2760	2760	-4.5159500333	-5.04444695179	-4.71687373025	-5.84014649533	-7.66970221633	-6.09873578377	-5.75740360876
NM_138794	LYPLAL1	714	714	-5.04462852874	-5.58301629427	-5.22765617185	-6.54151712532	-7.60306060655	-6.74782340189	-6.34461447904
NM_001198956	DCAF6	2856	2856	-4.43762845964	-5.05675173546	-4.61082240566	-5.62297088233	-7.70297107147	-6.08163162822	-5.74255448772
NM_015726	DCAF8	1794	1794	-4.56328895595	-5.17089215476	-4.72076055674	-5.96714102245	-7.77720901604	-6.32700447459	-5.94449025211
NM_001773	CD34	987	987	-4.90191350445	-5.43234545353	-5.09046416923	-6.485270047	-7.68214867537	-6.43060601114	-6.20399553815
NM_006468	POLR3C	1605	1605	-4.66312589275	-5.2684135795	-4.82921820594	-6.03303453308	-7.65090729719	-6.24878790086	-5.99283765408
NM_052943	FAM46B	1278	1278	-4.58560977167	-5.09939366706	-4.75924118923	-6.27082867208	-7.68279909644	-7.3413328127	-6.091781837
NM_017709	FAM46C	1176	1176	-4.70556981173	-5.22479216953	-4.87906736276	-6.31317031566	-7.84420675432	-7.56139277513	-6.12790536908
NM_145172	WDR63	2676	2676	-4.46743246313	-5.05564173169	-4.64474420292	-5.77205361527	-7.83384630728	-6.03471619803	-5.77082658172
NM_144625	WDR64	3246	3246	-4.59762845856	-5.19391838055	-4.77276109659	-5.87463843593	-7.84257741056	-6.1978810769	-5.68696417533
NM_001195831	WDR65	3852	3852	-4.56276955919	-5.13578294051	-4.72786509602	-6.04035076208	NA	-6.36830157781	-5.61262641237
NM_001024601	C1orf227	297	297	-5.45623676058	-6.08166746405	-5.61790730805	-6.700494043	-7.71664730479	-7.39743460197	-6.7255562415
NM_001085375	C1orf226	819	819	-4.97220136358	-5.48562321775	-5.15038184433	-6.5344355503	-7.56950834592	NA	-6.28502878906
NM_000191	HMGCL	978	978	-4.91848750209	-5.4543452721	-5.10566754721	-6.43740355846	-7.74487773603	-6.48381824355	-6.20797383603
NM_018137	PRMT6	1128	1128	-4.61417586282	-5.10182088395	-4.80380425096	-6.23966080184	-7.7815004052	-7.00432404434	-6.14600359117
NM_006610	MASP2	2061	2061	-4.53569454142	-5.04646938433	-4.72369044647	-6.06599596737	-7.86294526474	-6.42448425285	-5.88423469904
NM_005529	HSPG2	13176	13176	-3.59429462223	-4.09725975129	-3.78621588033	-5.18142354506	NA	-5.35762606331	-5.07852910466
NM_033127	SEC16B	3183	3183	-4.38513159257	-4.93294450521	-4.55815215056	-5.73283380863	-7.74523413005	NA	-5.6954760522
NM_001098475	TDRD10	1101	1101	-4.76609974723	-5.27893931295	-4.96613490254	-6.2228857914	-7.71546497692	-6.35073840063	-6.15652537185
NM_001127328	ACADM	1278	1278	-4.79581795942	-5.42486471369	-4.96019518007	-6.09220839877	-7.88411573633	-6.33618584296	-6.091781837
NM_018060	IARS2	3039	3039	-4.34978100619	-4.91002880892	-4.52935532359	-5.73425867679	-7.57664648368	-6.01652672149	-5.71558199074
NM_032236	USP48	3108	3108	-4.403699259	-4.98952598955	-4.58049547428	-5.74107471839	-7.88515848351	-5.94767893773	-5.70583168069
NM_024011	CDK11A	2343	2343	-4.36880264656	-4.89697267123	-4.54270150441	-5.85423673275	-7.74317103487	-7.69800340576	-5.82854040222
NM_033489	CDK11B	2241	2241	-4.37402590425	-4.89388324373	-4.54933782924	-5.9095454167	-7.74269528525	-7.69800340576	-5.84787083429
NM_182752	TPRG1L	819	819	-4.92460959995	-5.42259927937	-5.12510473134	-6.34318374367	-7.72211446657	-6.83369441894	-6.28502878906
NM_172000	TEDDM1	822	822	-5.02463202376	-5.54086765789	-5.20761440191	-6.4833267297	-7.74518220214	-7.62274387076	-6.28344087328
NM_001012	RPS8	627	627	-4.92595788378	-5.52409888192	-5.09224756035	-6.27048832022	-7.70085496121	-6.648659632	-6.40104514999
NM_001010866	TMEM201	1179	1179	-4.63806401911	-5.113149036	-4.83703017412	-6.2826848888	-7.56181368058	-6.69452802571	-6.12679888573
NM_001198862	TMEM206	1236	1236	-4.80086999338	-5.36326988692	-4.96774511688	-6.41364512628	-7.74880330113	-6.50835544079	-6.10629422007
NM_001010898	SLC6A17	2184	2184	-4.41140278289	-4.91606977891	-4.59598269607	-6.08193052876	-7.66294592926	-6.35162558186	-5.85906005679
NM_005518	HMGCS2	1527	1527	-4.64003524631	-5.2214121733	-4.81188927535	-5.95710351228	-7.86615231391	-6.44078542423	-6.01447365376
NM_020775	KIAA1324	3042	3042	-4.32741166455	-4.84042520375	-4.52244611739	-5.85564323071	-7.72267498439	-5.93191871922	-5.7151534811
NM_000403	GALE	1047	1047	-4.74499093868	-5.28141481862	-4.92502933127	-6.34804525018	-7.74486460098	-6.39022811647	-6.17836600914
NM_032880	IGSF21	1404	1404	-4.54404151948	-5.06753741526	-4.721722467	-6.19836812337	-7.73590415014	-6.41735941219	-6.05094558303
NM_000569	FCGR3A	873	873	-4.95109066398	-5.48843463302	-5.13635377465	-6.36834668913	-7.5548922744	-6.73776534692	-6.25729844711
NM_001244753	FCGR3B	810	810	-5.0506895679	-5.57979338801	-5.23746170441	-6.55386666913	-7.78170106532	-6.73790875137	-6.28982767194
NM_001004491	OR2AK2	1008	1008	-4.90682167631	-5.48025283673	-5.06037548503	-6.46325315582	-7.69573852089	-7.76291097312	-6.19485215871
NM_000983	RPL22	387	387	-5.230260653	-5.75993378022	-5.41159372903	-6.82268700971	-7.88246835047	-6.97018442868	-6.6106017258
NM_015101	GLT25D2	1881	1881	-4.53831798688	-5.07060598153	-4.72582571887	-5.94282132109	-7.60332832576	-6.31304253692	-5.92392389527
NM_001990	EYA3	1722	1722	-4.69715612224	-5.28296047452	-4.87444196277	-6.09784109384	-7.8775662114	-6.15034595537	-5.9622795437
NM_014774	KIAA0494	1488	1488	-4.72281681028	-5.28071402136	-4.90166808059	-6.16015394925	-7.71314026014	-6.35651767519	-6.02570975961
NM_001164586	IGFN1	11127	11127	-4.32611902681	-4.82966275291	-4.51055892529	-6.01004038834	-7.71278377851	-6.27485228642	-5.15193460277
NM_022733	SMAP2	1290	1290	-4.74612414302	-5.33374174843	-4.92863102366	-6.0087458897	-7.70247055285	-6.284824905	-6.08772298052
NM_001878	CRABP2	417	417	-5.16498990339	-5.66116567372	-5.37962441799	-6.47929072288	-7.72554731913	-6.87097939633	-6.57817663585
NM_052960	RBP7	405	405	-5.25753285771	-5.79146919199	-5.44454480458	-6.78532746863	-7.66886199311	-6.87933154078	-6.59085766761
NM_015906	TRIM33	3384	3384	-4.4314241638	-5.02553445725	-4.60105020303	-5.76633012254	-7.83379026723	-6.08757852281	-5.66888233645
NM_000969	RPL5	894	894	-4.89658961685	-5.55752432605	-5.05388934192	-6.11839473205	-7.86683994222	-6.50793163868	-6.24697517202
NM_001017922	ERMAP	1428	1428	-4.68899877789	-5.24466111498	-4.86138183668	-6.22192336457	-7.7274666998	-6.40570036358	-6.04358448338
NM_021258	IL22RA1	1725	1725	-4.55545044666	-5.05826649556	-4.74762413487	-6.09606508058	-7.74467028604	-6.41121877104	-5.96152359141
NM_001112808	FPGT-TNNI3K	2811	2811	-4.43510958031	-5.02316144906	-4.61570011968	-5.73905931363	-7.68184390534	-5.93298870033	-5.74945184521
NM_021205	RHOU	777	777	-4.88715123851	-5.3365040153	-5.10200931972	-6.47371266689	-7.54417787339	-7.0539876794	-6.30789167202
NM_175744	RHOC	582	582	-4.98385049466	-5.54884271909	-5.15088847445	-6.47702348422	-7.74549314536	-6.86459064101	-6.43338970617
NM_182532	TMEM61	633	633	-4.92602125725	-5.40419507269	-5.1243082505	-6.51902596983	-7.88377972003	-7.05715950606	-6.3969089808
NM_016486	TMEM69	744	744	-5.10248613488	-5.67774026006	-5.26099742625	-6.59891626896	-7.70265436658	-7.36355591924	-6.32673975527
NM_020190	OLFML3	1221	1221	-4.72598554606	-5.33940455817	-4.87868354107	-6.05193890973	-7.77840483757	-7.04520300585	-6.11159702688
NM_052998	ADC	1383	1383	-4.66139502632	-5.16347698909	-4.85889388385	-6.13780547722	-7.72267082063	-6.44584586657	-6.05749051071
NM_001001821	OR2T34	957	957	-4.8858064619	-5.42062660684	-5.05366501407	-6.47554670496	-7.66964268455	-7.75636047663	-6.21740075304
NM_014624	S100A6	273	273	-5.45148906957	-5.9582421025	-5.63931320035	-7.10516839086	-7.74827768143	-7.35434316438	-6.76215004378
NM_001033910	TRAF5	1674	1674	-4.6691526339	-5.264352333	-4.83370658733	-6.04738067945	-7.69362619519	-6.39958042147	-5.97455723716
NM_015888	HOOK1	2187	2187	-4.6261502484	-5.24708045361	-4.79778169964	-5.93282524121	NA	-6.0494903699	-5.85846390778
NM_020963	MOV10	3012	3012	-4.29518203929	-4.86099349659	-4.46253609259	-5.79727655198	-7.74893448268	-6.08563681946	-5.71945772329
NM_033418	METTL18	1119	1119	-4.95609503762	-5.54839259611	-5.11077007992	-6.34636035919	-7.88581799332	-7.6418031558	-6.14948260429
NM_015935	METTL13	2100	2100	-4.47978742174	-5.03284667787	-4.65674417083	-5.82969768487	-7.66274958671	-6.50358193634	-5.87609339609
NM_000906	NPR1	3186	3186	-4.35453040243	-4.89657776868	-4.53380021498	-5.86065055231	-7.68218722918	-6.06455152847	-5.69506691936
NM_024772	ZMYM1	3429	3429	-4.41889204429	-4.98976189189	-4.59003047855	-5.74208460349	-7.70342023309	-6.46271401482	-5.66314520571
NM_007167	ZMYM6	3978	3978	-4.48957180701	-5.08007364022	-4.66313678451	-5.76421726049	-7.68983821139	-6.21221620231	-5.59864791203
NM_005095	ZMYM4	4647	4647	-4.24773292477	-4.84779960159	-4.41680871732	-5.55618822418	-7.88447739059	-5.90642792549	-5.53114001834
NM_001766	CD1D	1008	1008	-4.76729002222	-5.28577106393	-4.96135682143	-6.19868735015	-7.66178120448	-6.48851069264	-6.19485215871
NM_030893	CD1E	1167	1167	-4.79119970583	-5.38191270966	-4.95987192531	-6.09452677606	-7.66185613382	-6.64057335824	-6.13124183478
NM_001764	CD1B	1002	1002	-4.86722184505	-5.44280768625	-5.05015328553	-6.09016608671	-7.59985296148	-6.6540327584	-6.19744496929
NM_001765	CD1C	1002	1002	-4.87863598695	-5.43030569672	-5.06985649745	-6.12250107007	-7.7216880611	-6.64994156197	-6.19744496929
NM_001763	CD1A	984	984	-4.83338371218	-5.41055734725	-5.0000079443	-6.2597321591	-7.89473916519	-6.64132563794	-6.20531759239
NM_030952	NUAK2	1887	1887	-4.46490779515	-5.00973786296	-4.63467417036	-5.98938826362	-7.74508100307	-6.56587175422	-5.92254079066
NM_007185	CELF3	1398	1398	-4.69655085151	-5.22391083148	-4.88704089979	-6.18454168964	-7.74551249488	-6.3029631258	-6.05280551941
NM_001142550	WDR47	2784	2784	-4.46891934824	-5.05820358786	-4.63516223418	-5.8288716085	-7.65850522597	-6.2573556214	-5.75364345988
NM_001514	GTF2B	951	951	-4.8902662381	-5.51627002447	-5.05563409709	-6.12494381946	-7.70272137776	-6.58311577856	-6.22013217388
NM_002227	JAK1	3465	3465	-4.27794309906	-4.82563388726	-4.45718752237	-5.76247346349	-7.70983847062	-5.94196748077	-5.65860945187
NM_001004023	DYRK3	1707	1707	-4.65929338291	-5.2796039213	-4.80201111729	-6.10700502368	-7.69318471248	-7.08206293055	-5.96607916971
NM_014747	RIMS3	927	927	-4.76344423671	-5.30920473161	-4.93452087135	-6.45874417342	-7.91318636495	-6.46003493805	-6.23123295668
NM_001005277	OR4F16	939	939	-4.95330105658	-5.50476166036	-5.11222274143	-6.62215412852	-7.69798466556	-7.58766642326	-6.22564709855
NM_017744	ST7L	1728	1728	-4.6602326353	-5.21273383063	-4.84879996537	-6.0108094897	-7.74541170885	-6.2359787469	-5.96076895268
NM_057176	BSND	963	963	-4.81037020127	-5.31217927084	-4.99679562187	-6.4271411576	-7.74469812622	-6.86758053951	-6.2146864037
NM_001034077	HIST2H4B	312	312	-5.08454814447	-5.62124712418	-5.24466637836	-6.99430066994	-7.71596853545	-7.59214326713	-6.7041580968
NM_003548	HIST2H4A	312	312	-5.08454814447	-5.62124712418	-5.24466637836	-6.99430066994	-7.71596853545	-7.59214326713	-6.7041580968
NM_032125	TMEM222	627	627	-4.87188301567	-5.34421169058	-5.0789216441	-6.66856988054	-7.64992922436	-6.48242155055	-6.40104514999
NM_018072	HEATR1	6435	6435	-4.08390573079	-4.61334768269	-4.27433172315	-5.52469827245	-7.87629047209	-5.72075483143	-5.38976413958
NM_006589	FAM189B	2007	2007	-4.52521467485	-5.07771595183	-4.69851521535	-5.99842068857	NA	-6.34392309016	-5.89576531833
NM_152375	KLHDC7A	2334	2334	-4.30531477202	-4.80463045949	-4.48492091839	-5.97919391387	-7.71160932132	-7.70457212185	-5.83021183911
NM_032998	DEDD	957	957	-4.7841654128	-5.4122713002	-4.92962572261	-6.18924313741	-7.68258229889	-6.85188315242	-6.21740075304
NM_006671	SLC1A7	1683	1683	-4.47620669643	-4.96474159145	-4.66306114196	-6.40771401545	-7.74508466195	-6.37176948743	-5.97222857484
NM_022089	ATP13A2	3543	3543	-4.15774233346	-4.65331281488	-4.35189074217	-5.78308436421	-7.68382657928	-5.92674982223	-5.64894153849
NM_001017986	FCGR1B	843	843	-4.97665418064	-5.55854054301	-5.15454321457	-6.23603181371	-7.68901490691	-6.74041104691	-6.2724851162
NM_000566	FCGR1A	1125	1125	-4.85500698725	-5.4234932822	-5.03501026762	-6.1267553597	-7.69079525602	-6.70054145917	-6.14716016837
NM_014002	IKBKE	2151	2151	-4.44353180062	-4.97715994473	-4.6320405712	-5.96267767527	-7.74496119972	-5.98563840742	-5.86567228043
NM_013285	GNL2	2196	2196	-4.5100143562	-5.13312301037	-4.67110894589	-5.81295462183	-7.83453545945	-6.17790054554	-5.85668035504
NM_173509	FAM163A	504	504	-5.12033462134	-5.59593378875	-5.3118724038	-6.88217263598	-7.8337194885	-7.66019519395	-6.49588215437
NM_004753	DHRS3	909	909	-4.72552888899	-5.22530806816	-4.9080123375	-6.59585393294	-7.56557800354	-6.65510534277	-6.2397488076
NM_002871	RABIF	372	372	-5.15239176975	-5.67357751088	-5.35092438479	-6.38418198024	-7.81493300263	-7.46057837418	-6.62776975094
NM_030937	CCNL2	1563	1563	-4.47888911791	-5.02306289171	-4.65499057938	-5.95248151316	-7.71872335459	-6.34780606977	-6.0043537128
NM_003292	TPR	7092	7092	-4.05644581286	-4.68826372999	-4.21893184411	-5.32887966513	-7.88388313805	-5.65638371085	-5.34754396389
NM_006623	PHGDH	1602	1602	-4.58953817252	-5.11033090255	-4.7703375748	-6.29694215044	-7.84624546489	-6.31289118872	-5.99365017907
NM_001010857	LELP1	297	297	-5.40901382248	-5.94349523309	-5.59012273902	-6.8309673255	-7.72035798853	-7.6187880325	-6.7255562415
NM_207420	SLC2A7	1539	1539	-4.56763881823	-5.04325466118	-4.77132567948	-6.19344871269	-7.70442429815	-6.37769341582	-6.01107407099
NM_003039	SLC2A5	1506	1506	-4.56009624435	-5.02746602031	-4.76306989805	-6.34812493485	-7.66160631119	-6.37364463804	-6.02048771896
NM_006516	SLC2A1	1479	1479	-4.54970036673	-5.07090200092	-4.72539650338	-6.31123327769	-7.72268247571	-6.41687926105	-6.02834451682
NM_001005286	OR6F1	927	927	-4.90825972104	-5.44788095365	-5.07185697096	-6.56904855106	-7.7009575042	-7.65996537511	-6.23123295668
NM_015484	SYF2	732	732	-4.93937721041	-5.52327880994	-5.10647641464	-6.39922873876	-7.86709460951	-6.58058436549	-6.33380160976
NM_138959	VANGL1	1575	1575	-4.59191410342	-5.17194994699	-4.74949484654	-6.11167344008	-7.88401915566	-6.56772944643	-6.00103213269
NM_020335	VANGL2	1566	1566	-4.50391966157	-5.05261799647	-4.67470377017	-5.983896327	-7.66286773478	-6.56721038704	-6.0035209331
NM_023938	C1orf116	1806	1806	-4.58864533796	-5.14329746128	-4.75583305518	-6.02705398454	-7.65812136534	-7.05765259944	-5.94159494484
NM_130398	EXO1	2541	2541	-4.48015421366	-5.03773540439	-4.65680345226	-5.86640117036	-7.8324177213	-6.2844695147	-5.79330802577
NM_001040441	ZBTB8A	1326	1326	-4.7567737384	-5.3721409306	-4.91350756482	-6.02092225058	-7.68989795863	-7.06725634707	-6.07576916675
NM_001243533	PDIK1L	1026	1026	-4.87817513562	-5.46617575138	-5.04279221042	-6.15989840213	-7.66276928315	-7.35385998735	-6.18716533004
NM_024758	AGMAT	1059	1059	-4.75186098295	-5.26789016008	-4.93045684641	-6.53715904964	-7.74412347282	-6.5761944593	-6.17341673071
NM_017846	TRNAU1AP	864	864	-4.89290553846	-5.46633995405	-5.07624240782	-6.2832499879	-7.68901490691	-6.34852486625	-6.26179894834
NM_001099772	CYP4B1	1539	1539	-4.63631375008	-5.23656466279	-4.78813297197	-6.30078519904	-7.68983253787	-6.30524306568	-6.01107407099
NM_001136223	RCOR3	1662	1662	-4.70032033816	-5.34250275366	-4.84335617114	-6.22976106386	-7.86623505956	-6.34931027791	-5.97768167137
NM_001199080	PODN	1929	1929	-4.42805841283	-4.93451737268	-4.61563495195	-5.97287066985	-7.57679937482	-6.43063870992	-5.91298046318
NM_000549	TSHB	417	417	-5.3129507565	-5.89962899956	-5.46401749255	-6.95663517638	-7.86752800523	-7.34568953048	-6.57817663585
NM_022753	S100PBP	1227	1227	-4.78236134282	-5.32704637902	-4.966407659	-6.09315042253	-7.88588503657	-6.76332453677	-6.10946812809
NM_002597	PDC	741	741	-5.08490867682	-5.70449635431	-5.24028661053	-6.4137775656	-7.60288020817	-7.05446974934	-6.32849448284
NM_005850	SF3B4	1275	1275	-4.74105575151	-5.31647803084	-4.90995642346	-6.08878249586	-7.84786067284	-6.7114768531	-6.09280250605
NM_001004734	OR14I1	936	936	-4.90789649393	-5.45679992834	-5.07073734444	-6.47163169342	-7.65746339727	-7.88984444812	-6.22703684208
NM_001178061	SEMA6C	2889	2889	-4.41982088646	-4.96243772003	-4.5980229692	-5.91875034258	NA	-6.15988613025	-5.73756514898
NM_152495	CNIH3	483	483	-5.19093403021	-5.69365502662	-5.41124060517	-6.6446703264	-7.86348430419	-6.5252584212	-6.51436556007
NM_006594	AP4B1	2220	2220	-4.5074529637	-5.09711440097	-4.67322670151	-5.83971232356	-7.6871235667	-6.39775029779	-5.85195971637
NM_014184	CNIH4	420	420	-5.21552810724	-5.76319282025	-5.42669747465	-6.52136423243	-7.74842387888	-6.5224716418	-6.57506340042
NM_020247	ADCK3	1944	1944	-4.45974308835	-4.96384682756	-4.64823372824	-6.10290116012	-7.69023689159	-6.26903793593	-5.90961643023
NM_015291	DNAJC16	2349	2349	-4.47555633517	-5.02926758512	-4.66002945166	-5.78615944646	-7.74413804458	-6.24033662648	-5.82742967404
NM_018198	DNAJC11	1680	1680	-4.54020489734	-5.07633848291	-4.73484661121	-5.8731973965	-7.70068070675	-6.17689116475	-5.97300340909
NM_004446	EPRS	4539	4539	-4.24976842753	-4.85354843781	-4.41729136006	-5.60423774052	-7.74495122664	-5.82640401371	-5.54135250808
NM_006212	PFKFB2	1518	1518	-4.61456244381	-5.20254266478	-4.78306513808	-6.02792836415	-7.7126277051	-6.23539700692	-6.01704091926
NM_004672	MAP3K6	3867	3867	-4.16504697437	-4.70286106673	-4.34068933107	-5.77594653173	-7.74563062632	-5.90913545674	-5.61093851875
NM_002763	PROX1	2214	2214	-4.45950055483	-4.99484603604	-4.63710330136	-5.86303456424	-7.65869512781	-6.85542567042	-5.85313507428
NM_002023	FMOD	1131	1131	-4.71386382431	-5.21298691115	-4.89779735092	-6.3136473131	-7.74511692694	-7.34562605393	-6.14485008589
NM_024874	KIAA0319L	3150	3150	-4.39364284011	-4.93531958858	-4.58027570367	-5.81736724134	-7.68999320685	-6.0165377827	-5.70000213703
NM_001002294	FMO3	1599	1599	-4.68591737771	-5.24635735138	-4.85739413302	-6.13676038777	-7.86752449578	-6.5099051831	-5.99446422707
NM_002021	FMO1	1599	1599	-4.70067396029	-5.28916238486	-4.87628135927	-5.98416988532	-7.70967766067	-6.36592023692	-5.99446422707
NM_001079843	CASZ1	5280	5280	-3.94917725277	-4.40207941505	-4.15394541637	-5.71922921818	NA	-6.13616736005	-5.47567876829
NM_002022	FMO4	1677	1677	-4.69132263401	-5.28226961425	-4.85875873803	-6.01948933725	-7.60319998855	-6.50839891058	-5.97377962821
NM_001461	FMO5	1602	1602	-4.71282402405	-5.31810403897	-4.87193710655	-6.09590790649	-7.69343498629	-6.5042795468	-5.99365017907
NM_001161441	SH2D2A	1200	1200	-4.78606153193	-5.3128969958	-4.97286093597	-6.21869923297	-7.69170899417	-6.63624130808	-6.11913144477
NM_001032291	PSRC1	1002	1002	-4.77507343081	-5.38100197154	-4.94052595008	-6.0437826552	-7.83358876218	-6.62032562034	-6.19744496929
NM_001099850	PRAMEF18	1440	1440	-4.68567132126	-5.26217602975	-4.84464027051	-6.13013766004	-7.69249819049	-7.03715017496	-6.03995019873
NM_001099790	PRAMEF19	1440	1440	-4.68567132126	-5.26217602975	-4.84464027051	-6.13013766004	-7.69249819049	-7.03715017496	-6.03995019873
NM_001045480	PRAMEF16	1425	1425	-4.75254669481	-5.29126974704	-4.92353829304	-6.27636289831	-7.70448198116	-7.04038574568	-6.04449782648
NM_001099851	PRAMEF17	1425	1425	-4.75114742258	-5.29044613975	-4.92189307055	-6.27466397206	-7.70444370088	-7.0403474654	-6.04449782648
NM_001099854	PRAMEF14	1281	1281	-4.75632445773	-5.31296488059	-4.91927813652	-6.29458198612	-7.7138405246	-7.03719858582	-6.09076356108
NM_001098376	PRAMEF15	1437	1437	-4.73779996682	-5.30952720407	-4.89640206801	-6.2336847817	-7.78064758892	-7.03679000358	-6.04085592269
NM_001080830	PRAMEF12	1452	1452	-4.70256228852	-5.2341928913	-4.87925813281	-6.15897879268	-7.88342288363	-7.03740695992	-6.03634607446
NM_001024661	PRAMEF13	1425	1425	-4.71389671813	-5.26961132544	-4.8765355205	-6.2597280014	-7.7138405246	-7.03719858582	-6.04449782648
NM_001039361	PRAMEF10	1425	1425	-4.74345116936	-5.32099911009	-4.89789376907	-6.28646783031	-7.71395791013	-7.04169433245	-6.04449782648
NM_014801	PCNXL2	6414	6414	-4.04467338719	-4.55558627425	-4.2289446306	-5.47464085828	-7.67248455264	NA	-5.39118373523
NM_002521	NPPB	405	405	-5.10478862514	-5.67887938036	-5.26658693491	-6.61464433201	-7.89481085461	-7.03060434316	-6.59085766761
NM_006172	NPPA	456	456	-5.11801039864	-5.6337770434	-5.30125811206	-6.71749346886	-7.74771055816	-7.04683048955	-6.53934784816
NM_052942	GBP5	1761	1761	-4.66093639078	-5.20498397579	-4.84378702773	-6.13427474627	-7.86663505354	-6.28703905436	-5.95255333485
NM_001024209	SPRR2E	219	219	-5.56714342799	-6.11648484079	-5.75010627004	-6.89098474849	-7.81450530507	-7.64114205849	-6.85786857598
NM_006945	SPRR2D	219	219	-5.56640633255	-6.11133137096	-5.75253937103	-6.87309831437	-7.81448606654	-7.64112281995	-6.85786857598
NM_001014291	SPRR2G	222	222	-5.55904544779	-6.09872515616	-5.74392434706	-6.89016659444	-7.81451498001	-7.79074661842	-6.85195971637
NM_001014450	SPRR2F	219	219	-5.54460527947	-6.06305308322	-5.74025050089	-6.87968995755	-7.81450238532	-7.64113913874	-6.85786857598
NM_005988	SPRR2A	219	219	-5.54119784211	-6.07145111091	-5.73194999631	-6.86688804018	-7.81449623815	-7.64113299157	-6.85786857598
NM_015112	MAST2	5397	5397	-4.08961849011	-4.67449131663	-4.25150813416	-5.53608087155	-7.59193477797	-5.9136864822	-5.46616027276
